GDENR,GDENAME,GDEKT,week_until,pop_gde_bfs,n_vac1,n_vac2,proc_vac1,proc_vac2
5489,Mex (VD),VD,2021-09-01,790,474.4811320754717,0,0.6040353089533417,0
5490,Moiry,VD,2021-09-01,311,195.40674955595026,0,0.5897988505747127,0
5491,Mont-la-Ville,VD,2021-09-01,490,360.7564464743861,0,0.5884688697835877,0
5492,Montricher,VD,2021-09-01,964,583,0,0.6028955532574974,0
5493,Orny,VD,2021-09-01,462,272.86140724946694,0,0.555694509579143,0
5495,Penthalaz,VD,2021-09-01,3207,1864,0,0.579421821572894,0
5496,Penthaz,VD,2021-09-01,1855,1107,0,0.5954814416352878,0
5497,Pompaples,VD,2021-09-01,847,451,0,0.5299647473560517,0
5498,La Sarraz,VD,2021-09-01,2595,1519,0,0.5835574337303112,0
5499,Senarclens,VD,2021-09-01,492,487.7587519025875,0,0.6010080645161291,0
5501,Sullens,VD,2021-09-01,1042,653,0,0.6266794625719769,0
5503,Vufflens-la-Ville,VD,2021-09-01,1351,895.5188679245283,0,0.6539110667171838,0
5511,Assens,VD,2021-09-01,1143,1044.3365500603136,0,0.6197488090082287,0
5512,Bercher,VD,2021-09-01,1322,805.6216216216217,0,0.6081081081081081,0
5514,Bottens,VD,2021-09-01,1331,693.4574087329993,0,0.5727495240685342,0
5515,Bretigny-sur-Morrens,VD,2021-09-01,859,436.1410788381742,0,0.6085219707057257,0
5516,Cugy (VD),VD,2021-09-01,2762,1666.817427385892,0,0.6085219707057257,0
5518,Echallens,VD,2021-09-01,5729,3147.172321768967,0,0.6077326846754576,0
5520,Essertines-sur-Yverdon,VD,2021-09-01,1037,539,0,0.5192678227360308,0
5521,Etagnières,VD,2021-09-01,1146,770,0,0.6620808254514188,0
5522,Fey,VD,2021-09-01,749,433,0,0.5781041388518025,0
5523,Froideville,VD,2021-09-01,2695,1552,0,0.5750277880696554,0
5527,Morrens (VD),VD,2021-09-01,1154,710,0,0.6152512998266898,0
5529,Oulens-sous-Echallens,VD,2021-09-01,617,358,0,0.5792880258899676,0
5530,Pailly,VD,2021-09-01,568,328,0,0.5754385964912281,0
5531,Penthéréaz,VD,2021-09-01,419,251,0,0.5990453460620525,0
5533,Poliez-Pittet,VD,2021-09-01,830,488.43521832498215,0,0.5727495240685342,0
5534,Rueyres,VD,2021-09-01,266,172,0,0.6394052044609665,0
5535,Saint-Barthélemy (VD),VD,2021-09-01,783,673.2306519252764,0,0.6077326846754577,0
5537,Villars-le-Terroir,VD,2021-09-01,1280,926.5970263057568,0,0.6077326846754577,0
5539,Vuarrens,VD,2021-09-01,1060,583,0,0.5494816211121584,0
5540,Montilliez,VD,2021-09-01,1858,1085.0436649964208,0,0.5871280110623497,0
5541,Goumoëns,VD,2021-09-01,1153,657,0,0.5693240901213171,0
5551,Bonvillars,VD,2021-09-01,489,288.9625,0,0.5763688042285827,0
5552,Bullet,VD,2021-09-01,658,313.1334962816579,0,0.5164541062720442,0
5553,Champagne,VD,2021-09-01,1062,586,0,0.5502347417840375,0
5554,Concise,VD,2021-09-01,1001,498.4814271749755,0,0.5281200150670546,0
5555,Corcelles-près-Concise,VD,2021-09-01,418,261.71212121212125,0,0.5285010555946517,0
5556,Fiez,VD,2021-09-01,451,266.5923344947735,0,0.5756309317363648,0
5557,Fontaines-sur-Grandson,VD,2021-09-01,219,111.3354174987261,0,0.5630525167721955,0
5559,Giez,VD,2021-09-01,413,247,0,0.5966183574879227,0
5560,Grandevent,VD,2021-09-01,226,145.85622013193594,0,0.5642449655101573,0
5561,Grandson,VD,2021-09-01,3358,1988,0,0.5904365904365905,0
5562,Mauborget,VD,2021-09-01,127,86.89895470383274,0,0.5434439178515008,0
5563,Mutrux,VD,2021-09-01,148,55.774193548387096,0,0.508604206500956,0
5564,Novalles,VD,2021-09-01,100,47.46368715083799,0,0.4957983193277311,0
5565,Onnens (VD),VD,2021-09-01,506,258,0,0.5098814229249012,0
5566,Provence,VD,2021-09-01,392,201.8420467185762,0,0.5091627422967706,0
5568,Sainte-Croix,VD,2021-09-01,4933,2313.8920447390838,0,0.46446010590230874,0
5571,Tévenon,VD,2021-09-01,894,470.02704703832757,0,0.5233036427619486,0
5581,Belmont-sur-Lausanne,VD,2021-09-01,3750,2554.254609306409,0,0.67913020418987,0
5582,Cheseaux-sur-Lausanne,VD,2021-09-01,4360,2872.117108874657,0,0.6758169934640523,0
5583,Crissier,VD,2021-09-01,8727,5365.503457433082,0,0.6082717828155566,0
5584,Epalinges,VD,2021-09-01,9769,6646,0,0.6758873182141768,0
5585,Jouxtens-Mézery,VD,2021-09-01,1412,2784.8340425531915,0,0.6221371288201719,0
5586,Lausanne,VD,2021-09-01,140202,91081.0686923205,0,0.6383635024385305,0
5587,Le Mont-sur-Lausanne,VD,2021-09-01,9144,5781.276901004305,0,0.630846204046117,0
5588,Paudex,VD,2021-09-01,1540,1028.5140845070423,0,0.6641602271939209,0
5589,Prilly,VD,2021-09-01,12360,5822.094562647754,0,0.6221371288201719,0
5590,Pully,VD,2021-09-01,18694,13090,0,0.6971665956540264,0
5591,Renens (VD),VD,2021-09-01,20834,12563.071394799055,0,0.5968617720365471,0
